datetime,open,high,low,close,volume
2022-10-05 01:45:00,1725.71000,1725.73000,1725.04000,1725.15000,175
2022-10-05 02:00:00,1725.15000,1725.71000,1724.75000,1725.02000,304
2022-10-05 02:15:00,1725.01000,1725.45000,1724.76000,1724.83000,259
2022-10-05 02:30:00,1724.84000,1724.97000,1723.61000,1724.02000,355
2022-10-05 02:45:00,1724.03000,1725.60000,1724.03000,1725.58000,363
2022-10-05 03:00:00,1725.58000,1725.72000,1724.15000,1724.86000,809
2022-10-05 03:15:00,1724.86000,1725.15000,1723.54000,1724.11000,871
2022-10-05 03:30:00,1724.12000,1724.13000,1722.06000,1722.28000,737
2022-10-05 03:45:00,1722.27000,1723.17000,1721.52000,1723.08000,991
2022-10-05 04:00:00,1723.04000,1723.80000,1722.22000,1722.75000,1321
2022-10-05 04:15:00,1722.75000,1723.68000,1721.15000,1723.01000,1111
2022-10-05 04:30:00,1723.01000,1723.01000,1718.63000,1719.59000,1207
2022-10-05 04:45:00,1719.59000,1720.97000,1719.15000,1720.09000,1058
2022-10-05 05:00:00,1720.07000,1721.22000,1719.00000,1720.07000,1156
2022-10-05 05:15:00,1720.12000,1720.77000,1719.60000,1720.30000,870
2022-10-05 05:30:00,1720.25000,1720.75000,1719.32000,1719.33000,745
2022-10-05 05:45:00,1719.33000,1720.10000,1717.92000,1719.83000,1022
2022-10-05 06:00:00,1719.85000,1719.94000,1718.52000,1718.86000,688
2022-10-05 06:15:00,1718.86000,1720.70000,1718.71000,1720.62000,654
2022-10-05 06:30:00,1720.57000,1721.36000,1719.24000,1719.55000,1068
2022-10-05 06:45:00,1719.64000,1719.93000,1719.01000,1719.37000,764
2022-10-05 07:00:00,1719.37000,1719.89000,1718.93000,1719.47000,546
2022-10-05 07:15:00,1719.42000,1719.56000,1717.62000,1717.83000,917
2022-10-05 07:30:00,1717.83000,1719.24000,1717.76000,1718.48000,665
2022-10-05 07:45:00,1718.47000,1718.89000,1717.51000,1718.32000,632
