time_ms,rate
1682265600007,4.969e-05
1682294400000,9.041e-05
1682323200008,1.238e-05
1682352000006,5.112e-05
1682380800014,8.411e-05
1682409600009,8.034e-05
1682438400015,6.892e-05
1682467200015,3.84e-05
1682496000013,1.253e-05
1682524800001,8.7e-05
1682553600014,-2.203e-05
1682582400008,5.85e-05
1682611200005,3.408e-05
1682640000011,8.67e-05
1682668800007,8.037e-05
1682697600006,8.463e-05
1682726400004,4.382e-05
1682755200016,7.125e-05
1682784000001,5.044e-05
1682812800008,6.303e-05
1682841600000,-2.13e-06
1682870400010,8.291e-05
1682899200004,-2.629e-05
1682928000008,2.338e-05
1682956800014,8.46e-06
1682985600015,9.917e-05
1683014400018,2.555e-05
1683043200000,8.146e-05
1683072000009,9.799e-05
1683100800003,6.273e-05
1683129600011,0.0001
1683158400000,0.0001
1683187200000,0.0001
1683216000011,9.9e-05
1683244800002,3.555e-05
1683273600000,5.68e-05
1683302400000,0.0001
1683331200009,0.0001
1683360000000,0.0001
1683388800000,6.94e-06
1683417600000,1.519e-05
1683446400000,2.257e-05
1683475200006,4.724e-05
1683504000000,5.356e-05
1683532800007,1.131e-05
1683561600015,3.803e-05
1683590400015,9.627e-05
1683619200000,0.0001
1683648000000,5.218e-05
1683676800007,2.199e-05
1683705600003,6.916e-05
1683734400000,4.334e-05
1683763200011,-3.99e-06
1683792000000,2.198e-05
1683820800005,5.429e-05
1683849600020,1.83e-05
1683878400001,4.54e-06
1683907200010,-9.17e-06
1683936000000,2.858e-05
1683964800000,2.366e-05
1683993600026,8.57e-06
1684022400029,-4.8e-06
1684051200010,5.487e-05
1684080000008,3.797e-05
1684108800006,-1.849e-05
1684137600005,-2.95e-06
1684166400008,-1.988e-05
1684195200021,-1.56e-05
1684224000000,1.255e-05
1684252800000,6.009e-05
1684281600010,8.76e-05
1684310400000,-1.53e-05
1684339200001,3.984e-05
1684368000000,7.696e-05
1684396800026,6.739e-05
1684425600019,5.135e-05
1684454400000,4.796e-05
1684483200002,2.782e-05
1684512000000,0.0001
1684540800005,7.933e-05
1684569600014,7.88e-06
1684598400020,-1.76e-06
1684627200014,4.22e-05
1684656000001,-1.59e-06
1684684800015,2.497e-05
1684713600028,2.428e-05
1684742400000,5.518e-05
1684771200012,9.003e-05
1684800000006,2.79e-05
1684828800014,0.0001
1684857600008,7.379e-05
1684886400000,9.078e-05
1684915200025,1.006e-05
1684944000008,4.917e-05
1684972800000,1.449e-05
1685001600025,1.48e-06
1685030400016,6.605e-05
1685059200000,0.0001
1685088000024,6.574e-05
1685116800012,3.794e-05
1685145600012,6.425e-05
1685174400018,4.565e-05
1685203200008,-3.23e-05
1685232000017,-1.2e-06
1685260800015,-1.086e-05
1685289600000,2.481e-05
1685318400000,0.0001
1685347200020,0.0001
1685376000011,0.0001
1685404800003,0.0001
1685433600000,0.0001
1685462400003,4.386e-05
1685491200013,7.951e-05
1685520000000,5.35e-06
