close_time,type,volume,price,sl,tp,profit,swap,commission,comment
2026.06.05 16:59,SELL_close,0.08,4366.39,4538.07,4366.52,1288.96,-1.84,0.00,tp 4366.52
2026.06.17 17:23,SELL_close,0.07,4347.43,4347.37,4023.74,-83.93,0.00,0.00,sl 4347.37
2026.06.17 17:30,SELL_close,0.03,4364.11,4364.02,4023.74,-75.93,-0.14,0.00,sl 4364.02
2026.06.23 04:36,BUY_close,0.03,4167.14,4167.18,4382.48,-81.96,-0.38,0.00,sl 4167.18
2026.07.01 16:22,SELL_close,0.12,4037.86,4037.20,3942.48,-88.32,0.00,0.00,sl 4037.20
2026.07.01 16:22,SELL_close,0.11,4037.99,4037.95,3942.48,-82.39,0.00,0.00,sl 4037.95
2026.07.06 02:28,BUY_close,0.01,4199.27,3975.67,4198.57,132.34,-0.26,0.00,tp 4198.57
2026.07.06 02:28,BUY_close,0.01,4199.27,3973.81,4198.57,132.34,-0.26,0.00,tp 4198.57
2026.07.13 17:03,BUY_close,0.04,4038.78,4038.81,4180.51,-79.12,0.00,0.00,sl 4038.81
2026.07.13 17:03,BUY_close,0.04,4038.36,4038.55,4180.51,-80.80,0.00,0.00,sl 4038.55
2026.07.13 17:16,SELL_close,0.02,4021.50,4137.81,4021.54,175.14,-0.09,0.00,tp 4021.54
2026.07.16 15:41,BUY_close,0.02,4007.31,4007.33,4180.51,-62.46,-0.76,0.00,sl 4007.33
2026.07.16 22:35,SELL_close,0.02,3971.14,4105.14,3971.22,193.02,-0.28,0.00,tp 3971.22
2026.07.20 17:20,BUY_close,0.23,3998.71,3998.76,4138.10,-85.79,0.00,0.00,sl 3998.76
